_id,selcode,card.description,card.model,card.image,technical.category,technical.location,technical.maker.web,technical.instructions,finance.purchase.date,finance.purchase.location,finance.purchase.amount,finance.purchase.invoice,finance.purchase.note,finance.disposal.date,finance.disposal.amount,finance.disposal.note,status,admin.creation.date,admin.update.date,technical.maker.name,technical.model_number,technical.serial_number,admin.update.user
6796aaf019005d0f46e68a92,0015,2 Seater and 3 Seater,Madrid,0015 2 and 3 Seaters.jpg,Furniture,Disposed,No URL,0000 No Instructions.pdf,2002-02-17T11:00:00.000Z,Harvey Norman - Porirua,2194,0015 2 and 3 seaters.pdf,"Olive Color, Soilguard",2018-03-30T11:00:00.000Z,0,Given away,Inactive,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,,,,
6796aaf019005d0f46e68a96,0043,Jamie Oliver Pot/Pan Set,,0043 Jamie Oliver Pot Set.jpg,Kitchenware,Kitchen-Dining,https://www.jamieoliver.com/products/home/cookware/,0000 No Instructions.pdf,2008-01-19T11:00:00.000Z,Harvey Norman Lower Hutt,699,0042 Electrolux Oven EOEE63AS.pdf,5 pces set,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Tefal,,,
6796aaf019005d0f46e68a98,0045,Panasonic DVD Recorder,,0045 Panasonic DVD Recorder DMR-EH68.jpg,Electronic,Living Room,https://www.panasonic.com/nz/home.html,0045 Panasonic DVD Recorder DMR-EH68.pdf,2008-11-14T11:00:00.000Z,Harvey Norman Lower Hutt,562,0045 Panasonic DVD Recorder DMR-EH68.pdf,$85 4FT HDMI Cable Included,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Panasonic,DMR-EH68,VNBFP001105,
6796aaf019005d0f46e68a99,0048,Dell Studio 15 Laptop,Studio 15,0048 Dell Laptop.jpg,Electronic,Disposed,https://www.dell.co.nz/,0000 No Instructions.pdf,2009-04-20T12:00:00.000Z,Dell New Zealand,2192.13,0048 Dell Laptop.pdf,,2015-10-29T11:00:00.000Z,0,Given to Jean,Inactive,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Dell,S510414NZ,,
6796aaf019005d0f46e68a9c,0052,Panasonic Microwave,Inverter,0052 Panasonic Microwave NN-ST-659.jpg,Kitchenware,Disposed,https://www.panasonic.com/nz/home.html,0000 No Instructions.pdf,2010-05-27T12:00:00.000Z,Noel Leeming Lower Hutt,299,0052 Panasonic Microwave NN-ST-659.pdf,$71.00 Cash + 600 Fly buys,2017-07-07T12:00:00.000Z,0,Broken Door Glass,Inactive,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Panasonic,NN-ST659WQPQ,5F30170906,
6796aaf019005d0f46e68a9e,0063,Ladder 6 ft Double Extention,DE 1412,0063 Double Ladder.jpg,Tools,Workshop,https://www.ullrich.co.nz/,0063 Double Ledder.pdf,1995-02-06T11:00:00.000Z,Ullrich Aluminium Petone,301.5,0063 Double Ladder.pdf,Includes Ladder Leveler,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Ullrich Aluminium,,,
6796aaf019005d0f46e68ab1,0143,Sunbean Capri Glass Kettle,KE6100,0143 Sunbean Capri Glass Kettle.jpg,Appliance,Kitchen-Dining,https://www.sunbeam.co.nz/,0000 No Instructions.pdf,2021-07-10T12:00:00.000Z,Farmers Lower Hutt,59.99,0143 Sunbean Capri Glass Kettle.pdf,1 Years Warranty till 11 Jul 2022,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Sunbean,,,
6796aaf019005d0f46e68ab3,0146,Phone Galaxy A52S 5G 2022,Galaxy A52s 5G,0146 Galaxy A52.jpg,Electronic,Fionas Office,https://www.samsung.com/nz/,0146 Galaxy A52.pdf,2022-03-19T11:00:00.000Z,Noel Leeming,559,0146 Galaxy A52 Invoice.pdf,1 Year Warranty,1900-12-31T12:30:00.000Z,0,,Active,2022-03-29T11:00:00.000Z,2024-05-31T12:00:00.000Z,Samsung,SM-A528B/DS,,karol_wojasz
6796aaf019005d0f46e68abc,0009,Food Processor,Multi Pro,0009 Kenwood Food Processor FP720.jpg,Appliance,Kitchen-Dining,https://www.kenwoodworld.com/en-nz,0009 Kenwood Food Processor FP720.pdf,2009-01-20T11:00:00.000Z,Norman Ross Lower Hutt,199,0009 Kenwood Food Processor FP720.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Kenwood,FP720,NSW22218,
6796aaf019005d0f46e68abd,0011,Family Tent 12' x 9',Geneva,AssetImageMissing.jpg,Sports Equipment,Workshop,No URL,0011 Big Tent.pdf,1990-06-09T12:00:00.000Z,The Great Outdoor Company,900,0000 Missing Invoice.pdf,Roof made of special fabic (sun protection),1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,The Great Outdoors Company,,,
